file,model,language,strategy,retries,num_comp,temp,status,quality
154.ts,incoder,ts,tree,1,10,0.8,timeout,NA
1727.ts,incoder,ts,tree,1,10,1,failure,NA
1727.ts,incoder,ts,tree,1,10,0.8,failure,NA
822.ts,incoder,ts,tree,1,10,1,success,5
822.ts,incoder,ts,tree,1,10,0.8,success,5
402.ts,incoder,ts,tree,1,10,1,success,10
402.ts,incoder,ts,tree,1,10,0.8,success,10
1007.ts,incoder,ts,tree,1,10,1,success,5
1007.ts,incoder,ts,tree,1,10,0.8,success,5
49.ts,incoder,ts,tree,1,10,1,failure,NA
49.ts,incoder,ts,tree,1,10,0.8,failure,NA
557.ts,incoder,ts,tree,1,10,1,success,10
557.ts,incoder,ts,tree,1,10,0.8,success,5
675.ts,incoder,ts,tree,1,10,1,success,10
675.ts,incoder,ts,tree,1,10,0.8,success,10
938.ts,incoder,ts,tree,1,10,1,success,10
938.ts,incoder,ts,tree,1,10,0.8,success,10
498.ts,incoder,ts,tree,1,10,1,failure,NA
498.ts,incoder,ts,tree,1,10,0.8,failure,NA
1461.ts,incoder,ts,tree,1,10,1,success,20
1461.ts,incoder,ts,tree,1,10,0.8,success,15
216.ts,incoder,ts,tree,1,10,1,failure,NA
216.ts,incoder,ts,tree,1,10,0.8,failure,NA
1663.ts,incoder,ts,tree,1,10,1,success,35
1663.ts,incoder,ts,tree,1,10,0.8,success,40
1068.ts,incoder,ts,tree,1,10,1,success,10
1068.ts,incoder,ts,tree,1,10,0.8,success,5
