file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
724.ts,codex,ts,simple,2,5,1,3,3,0.0
724.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1366.ts,codex,ts,simple,2,5,1,3,2,0.0
1366.ts,codex,ts,simple,1,10,0.8,3,3,0.0
361.ts,codex,ts,simple,2,5,1,3,2,0.0
361.ts,codex,ts,simple,1,10,0.8,3,0,NA
221.ts,codex,ts,simple,2,5,1,3,3,0.0
221.ts,codex,ts,simple,1,10,0.8,3,3,0.0
281.ts,codex,ts,simple,2,5,1,3,3,0.0
281.ts,codex,ts,simple,1,10,0.8,3,3,0.0
553.ts,codex,ts,simple,2,5,1,3,1,50.0
553.ts,codex,ts,simple,1,10,0.8,3,0,NA
1226.ts,codex,ts,simple,2,5,1,3,3,0.0
1226.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1196.ts,codex,ts,simple,2,5,1,3,3,3.3333333333333335
1196.ts,codex,ts,simple,1,10,0.8,3,1,0.0
557.ts,codex,ts,simple,2,5,1,3,3,0.0
557.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1433.ts,codex,ts,simple,2,5,1,3,3,0.0
1433.ts,codex,ts,simple,1,10,0.8,3,1,0.0
649.ts,codex,ts,simple,2,5,1,3,1,15.0
649.ts,codex,ts,simple,1,10,0.8,3,1,0.0
708.ts,codex,ts,simple,2,5,1,3,3,0.0
708.ts,codex,ts,simple,1,10,0.8,3,3,0.0
580.ts,codex,ts,simple,2,5,1,3,3,1.6666666666666667
580.ts,codex,ts,simple,1,10,0.8,3,3,0.0
234.ts,codex,ts,simple,2,5,1,3,2,0.0
234.ts,codex,ts,simple,1,10,0.8,3,3,0.0
492.ts,codex,ts,simple,2,5,1,3,3,0.0
492.ts,codex,ts,simple,1,10,0.8,3,3,0.0
497.ts,codex,ts,simple,2,5,1,3,2,0.0
497.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1010.ts,codex,ts,simple,2,5,1,3,3,0.0
1010.ts,codex,ts,simple,1,10,0.8,3,3,0.0
570.ts,codex,ts,simple,2,5,1,3,3,0.0
570.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1722.ts,codex,ts,simple,2,5,1,3,3,1.6666666666666667
1722.ts,codex,ts,simple,1,10,0.8,3,3,0.0
922.ts,codex,ts,simple,2,5,1,3,3,0.0
922.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1499.ts,codex,ts,simple,2,5,1,3,3,1.6666666666666667
1499.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1372.ts,codex,ts,simple,2,5,1,3,2,0.0
1372.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1403.ts,codex,ts,simple,2,5,1,3,3,0.0
1403.ts,codex,ts,simple,1,10,0.8,3,2,0.0
