file,model,language,strategy,retries,num_comp,temp,status,quality
1007.ts,codex,ts,simple,2,5,1,failure,NA
1007.ts,codex,ts,simple,1,10,0.8,success,0
1068.ts,codex,ts,simple,2,5,1,success,0
1068.ts,codex,ts,simple,1,10,0.8,success,0
385.ts,codex,ts,simple,2,5,1,success,5
385.ts,codex,ts,simple,1,10,0.8,failure,NA
59.ts,codex,ts,simple,2,5,1,success,5
59.ts,codex,ts,simple,1,10,0.8,success,0
1243.ts,codex,ts,simple,2,5,1,success,0
1243.ts,codex,ts,simple,1,10,0.8,success,0
964.ts,codex,ts,simple,2,5,1,failure,NA
964.ts,codex,ts,simple,1,10,0.8,failure,NA
725.ts,codex,ts,simple,2,5,1,success,5
725.ts,codex,ts,simple,1,10,0.8,success,5
1166.ts,codex,ts,simple,2,5,1,success,0
1166.ts,codex,ts,simple,1,10,0.8,failure,NA
248.ts,codex,ts,simple,2,5,1,failure,NA
248.ts,codex,ts,simple,1,10,0.8,failure,NA
