file,model,lang,strategy,retries,num_comp,temp,iters,successes,avg_quality
1795.ts,builtin,ts,none,0,0,0,1,1,50.0
181.ts,builtin,ts,none,0,0,0,1,0,NA
1829.ts,builtin,ts,none,0,0,0,1,0,NA
194.ts,builtin,ts,none,0,0,0,1,1,30.0
216.ts,builtin,ts,none,0,0,0,1,0,NA
218.ts,builtin,ts,none,0,0,0,1,0,NA
221.ts,builtin,ts,none,0,0,0,1,0,NA
234.ts,builtin,ts,none,0,0,0,1,1,10.0
248.ts,builtin,ts,none,0,0,0,1,1,15.0
281.ts,builtin,ts,none,0,0,0,1,0,NA
305.ts,builtin,ts,none,0,0,0,1,1,35.0
331.ts,builtin,ts,none,0,0,0,1,1,10.0
361.ts,builtin,ts,none,0,0,0,1,0,NA
385.ts,builtin,ts,none,0,0,0,1,0,NA
402.ts,builtin,ts,none,0,0,0,1,1,15.0
435.ts,builtin,ts,none,0,0,0,1,1,20.0
440.ts,builtin,ts,none,0,0,0,1,1,10.0
49.ts,builtin,ts,none,0,0,0,1,0,NA
492.ts,builtin,ts,none,0,0,0,1,1,15.0
493.ts,builtin,ts,none,0,0,0,1,0,NA
497.ts,builtin,ts,none,0,0,0,1,1,30.0
498.ts,builtin,ts,none,0,0,0,1,0,NA
523.ts,builtin,ts,none,0,0,0,1,1,10.0
543.ts,builtin,ts,none,0,0,0,1,1,15.0
553.ts,builtin,ts,none,0,0,0,1,1,25.0
557.ts,builtin,ts,none,0,0,0,1,1,10.0
562.ts,builtin,ts,none,0,0,0,1,1,40.0
569.ts,builtin,ts,none,0,0,0,1,0,NA
570.ts,builtin,ts,none,0,0,0,1,1,20.0
580.ts,builtin,ts,none,0,0,0,1,0,NA
59.ts,builtin,ts,none,0,0,0,1,0,NA
6.ts,builtin,ts,none,0,0,0,1,1,5.0
604.ts,builtin,ts,none,0,0,0,1,0,NA
649.ts,builtin,ts,none,0,0,0,1,1,15.0
675.ts,builtin,ts,none,0,0,0,1,1,10.0
696.ts,builtin,ts,none,0,0,0,1,0,NA
70.ts,builtin,ts,none,0,0,0,1,0,NA
708.ts,builtin,ts,none,0,0,0,1,0,NA
724.ts,builtin,ts,none,0,0,0,1,1,20.0
725.ts,builtin,ts,none,0,0,0,1,0,NA
734.ts,builtin,ts,none,0,0,0,1,1,60.0
77.ts,builtin,ts,none,0,0,0,1,1,60.0
782.ts,builtin,ts,none,0,0,0,1,0,NA
788.ts,builtin,ts,none,0,0,0,1,1,5.0
797.ts,builtin,ts,none,0,0,0,1,1,85.0
822.ts,builtin,ts,none,0,0,0,1,0,NA
864.ts,builtin,ts,none,0,0,0,1,1,50.0
867.ts,builtin,ts,none,0,0,0,1,1,25.0
880.ts,builtin,ts,none,0,0,0,1,1,30.0
922.ts,builtin,ts,none,0,0,0,1,1,10.0
938.ts,builtin,ts,none,0,0,0,1,1,15.0
946.ts,builtin,ts,none,0,0,0,1,1,10.0
954.ts,builtin,ts,none,0,0,0,1,1,20.0
964.ts,builtin,ts,none,0,0,0,1,1,25.0
995.ts,builtin,ts,none,0,0,0,1,1,10.0
999.ts,builtin,ts,none,0,0,0,1,0,NA
1083.ts,builtin,ts,none,0,0,0,1,0,NA
216.ts,codex,ts,simple,2,5,1,3,3,0.0
216.ts,codex,ts,simple,1,10,0.8,3,3,0.0
734.ts,codex,ts,simple,2,5,1,3,0,NA
734.ts,codex,ts,simple,1,10,0.8,3,0,NA
569.ts,codex,ts,simple,2,5,1,3,3,0.0
569.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1066.ts,codex,ts,simple,2,5,1,3,3,0.0
1066.ts,codex,ts,simple,1,10,0.8,3,3,0.0
331.ts,codex,ts,simple,2,5,1,3,3,0.0
331.ts,codex,ts,simple,1,10,0.8,3,3,0.0
218.ts,codex,ts,simple,2,5,1,3,1,60.0
218.ts,codex,ts,simple,1,10,0.8,3,1,5.0
1795.ts,codex,ts,simple,2,5,1,3,2,0.0
1795.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1440.ts,codex,ts,simple,2,5,1,3,3,0.0
1440.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1663.ts,codex,ts,simple,2,5,1,3,3,0.0
1663.ts,codex,ts,simple,1,10,0.8,3,3,0.0
880.ts,codex,ts,simple,2,5,1,3,3,0.0
880.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1782.ts,codex,ts,simple,2,5,1,3,3,0.0
1782.ts,codex,ts,simple,1,10,0.8,3,3,0.0
1381.ts,codex,ts,simple,2,5,1,3,3,0.0
1381.ts,codex,ts,simple,1,10,0.8,3,3,0.0
181.ts,codex,ts,simple,2,5,1,3,3,0.0
181.ts,codex,ts,simple,1,10,0.8,3,3,0.0
797.ts,codex,ts,simple,2,5,1,3,1,0.0
797.ts,codex,ts,simple,1,10,0.8,3,2,0.0
